label,classification,old_32bit_addr,va,rva,file_offset,pdata_start,pdata_end,pdata_size,evidence,notes
jafont_loader_current_ghidra_function,confirmed,,0x141571D90,0x1571D90,0x1571190,0x141571D90,0x141571E88,0xF8,"Current Ghidra MCP get_function_by_address/decompile","Current DB merges the earlier adjacent block and direct formatter block into FUN_141571d90"
jafont_loader_wrapper_obsolete_sub_7FF6C96842D0,speculative,,0x1415742D0,0x15742D0,0x15736D0,0x1415742D0,0x1415742E3,0x13,"obsolete note; PE .pdata","Wrapper/dispatcher candidate only"
main_menu_draw_everything_maybe,probable,0x6C0B91,0x1410359F0,0x10359F0,0x1034DF0,0x1410359F0,0x141035A5D,0x6D,"dispatch CSV; PE .pdata","Menu/render or width-related candidate"
menu_draw_everything,confirmed,0x6CC9D3,0x141070D60,0x1070D60,0x1070160,0x141070D60,0x141071B4A,0xDEA,"dispatch CSV; PE .pdata; current direct-call overlay scan","Confirmed shortest menu render chain enters FUN_141570730 via FUN_141077ef0/FUN_14106b4a0; width enters FUN_141570050"
battle_draw_menu_everything,probable,0x6CEE84,0x14107E9A0,0x107E9A0,0x107DDA0,0x14107E9A0,0x14107EA07,0x67,"dispatch CSV; PE .pdata; current direct-call overlay scan","No direct FUN_141570xxx call observed; likely indirect through submitted helpers or callbacks"
draw_text_top_display,probable,0x6D1CC0,0x14108F490,0x108F490,0x108E890,0x14108F490,0x14108F4E4,0x54,"dispatch CSV unnamed entry; PE .pdata","Battle top display and width/draw candidate"
field_text_box_window_opening,probable,0x6317A9,0x140CB7980,0x0CB7980,0x0CB6D80,0x140CB7980,0x140CB82BE,0x93E,"dispatch CSV; PE .pdata","Field wrapping/window width candidate"
field_submit_draw_text_640x480,probable,0x6E706D,0x1410FB970,0x10FB970,0x10FAD70,0x1410FB970,0x1410FB97F,0xF,"dispatch CSV; PE .pdata","Field text draw candidate; direct decoder call pending"
field_draw_text_boxes_and_text_graphics_object,speculative,0x6ECA68,0x14111D6A0,0x111D6A0,0x111CAA0,0x14111D6A0,0x14111D6BB,0x1B,"dispatch CSV; PE .pdata","Field text-box submit caller candidate"
field_text_opcode,probable,0x714598,0x1411F7DC0,0x11F7DC0,0x11F71C0,0x1411F7DC0,0x141205A21,0xDC61,"dispatch CSV; PE .pdata; obsolete mapping","Large field/text opcode handler candidate"
gfx_drv_load_texture,probable,,0x1415604E0,0x15604E0,0x155F8E0,0x1415604E0,0x141560A2E,0x54E,"obsolete graphics mapping; PE .pdata","Likely downstream texture upload path; not yet tied directly to jafont path"
menu_jafont_1_graphics_object_slot,confirmed,,,,,,,,"Runtime overlay decompile","Object handle slot at [*(0x14207CE08)+0x10]; not a fixed static VA"
menu_jafont_2_graphics_object_slot,confirmed,,,,,,,,"Runtime overlay decompile","Object handle slot at [*(0x14207CE08)+0x24]; not a fixed static VA"
menu_jafont_3_graphics_object_slot,confirmed,,,,,,,,"Runtime overlay decompile","Object handle slot at [*(0x14207CE08)+0x38]; not a fixed static VA"
menu_jafont_4_graphics_object_slot,confirmed,,,,,,,,"Runtime overlay decompile","Object handle slot at [*(0x14207CE08)+0x4C]; not a fixed static VA"
menu_jafont_5_graphics_object_slot,confirmed,,,,,,,,"Runtime overlay decompile","Object handle slot at [*(0x14207CE08)+0x60]; not a fixed static VA"
menu_jafont_6_graphics_object_slot,confirmed,,,,,,,,"Runtime overlay decompile","Object handle slot at [*(0x14207CE08)+0x74]; not a fixed static VA"
jafont_measure_dispatch_wrapper,confirmed,,0x141570050,0x1570050,0x156F450,0x141570050,0x141570227,0x1D7,"Current Ghidra MCP xrefs/decompile","FUN_141570050 dispatches JP mode to FUN_1415712b0; called by field_text_opcode and many UI functions"
jafont_measure_dispatch_wrapper_alt,confirmed,,0x14156FFE0,0x156FFE0,0x156F3E0,0x14156FFE0,0x141570049,0x69,"Current Ghidra MCP xrefs/decompile","FUN_14156ffe0 dispatches JP mode to FUN_1415712b0 and non-JP paths to legacy common draw"
jafont_string_render_wrapper,confirmed,,0x141570410,0x1570410,0x156F810,0x141570410,0x141570507,0xF7,"Current Ghidra MCP xrefs/decompile","Shared wrapper; JP mode calls FUN_1415724a0; broad caller fan-in"
field_textbox_layout_jp_wrapper,confirmed,,0x14156FD10,0x156FD10,0x156F110,0x14156FD10,0x14156FFD0,0x2C0,"Current Ghidra MCP xrefs/decompile","Calls FUN_1415714b0 for JP measurement/layout and FUN_14111d6a0 for draw continuation"
jp_text_render_scan_independent,confirmed,,0x14156E430,0x156E430,0x156D830,0x14156E430,0x14156FCDD,0x18AD,"Current Ghidra MCP xrefs/decompile","Independent FA-FE scanner; calls FUN_141571ec0 and FUN_1415724a0; called by FUN_14111d6a0"
jp_centered_preprocess_measure_render,confirmed,,0x14156E120,0x156E120,0x156D520,0x14156E120,0x14156E42C,0x30C,"Current Ghidra MCP xrefs/decompile","Scans FA-FE; calls FUN_1415712b0 and FUN_1415724a0; called by FUN_14108f5f0"
field_textbox_draw_coordinator,probable,0x6ECA68,0x14111D6A0,0x111D6A0,0x111CAA0,,,,"Current Ghidra MCP xrefs; obsolete/FFNx mapping","Calls FUN_14156e430; decompile timed out; role probable not renamed"
battle_text_helper_near_draw_root,confirmed,,0x1410798E0,0x10798E0,0x1078CE0,0x1410798E0,0x14107BF6F,0x269F,"Current Ghidra MCP decompile; current direct-call overlay scan","Direct calls to FUN_141570730/FUN_141570410/FUN_141570050; reaches common render and width paths"
name_entry_or_input_text_root,probable,,0x14108F5F0,0x108F5F0,0x108E9F0,0x14108F5F0,0x1410AA670,0x1B080,"Current Ghidra MCP xrefs","Direct caller of FUN_14156e120; exact UI subsystem unresolved"
menu_draw_helper_dispatch_to_text_state,confirmed,,0x141077EF0,0x1077EF0,0x10772F0,,,,"Current direct-call overlay scan","FUN_141070d60 calls this at 0x141071211/0x141071482; shortest route to FUN_14106b4a0"
menu_text_state_and_wrapper_entry,confirmed,,0x14106B4A0,0x106B4A0,0x106A8A0,,,,"Current Ghidra MCP decompile; current direct-call overlay scan","Direct calls to FUN_141570730 at 0x14106BCEA and FUN_141570050 at 0x14106BD10"
menu_c_string_to_ff7_text_buffer,confirmed,,0x1410732B0,0x10732B0,0x10726B0,0x1410732B0,0x1410734EB,0x23B,"Current Ghidra MCP decompile","Reads source until 0x00, writes adjusted bytes, appends 0xFF; no FA-FE decoding"
menu_temp_string_render_helper,confirmed,,0x1410734F0,0x10734F0,0x10728F0,0x1410734F0,0x141074B04,0x1614,"Current Ghidra MCP decompile; prior xrefs","Builds temp strings with FUN_1410732b0 and calls FUN_141570730"
